CODIGO,NOMEPRODUTO,GRUPO,FABRICANTE,DESCRICAO_COMPLEMENTAR,REFERENCIA,PRECO
1729,ANTENA DE TV EXT DIGITAL AE5000,ANTENAS,INTELBRAS,,4142003,"32,99"
1730,ANTENA DE TV EXTERNA AE5010,ANTENAS,INTELBRAS,,4142004,"63,99"
1650,ANTENA DE TV EXTERNA DIGITAL AE4000,ANTENAS,INTELBRAS,,4142001,"49,99"
1651,ANTENA DE TV EXTERNA DIGITAL AE4010,ANTENAS,INTELBRAS,,4142002,"80,99"
1648,ANTENA DE TV INTERNA DIGITAL AI1000,ANTENAS,INTELBRAS,,4141001,"25,99"
1649,ANTENA DE TV INTERNA DIGITAL AI2000,ANTENAS,INTELBRAS,,4141002,"38,99"
1727,ANTENA DE TV INTERNA DIGITAL AI3100,ANTENAS,INTELBRAS,,4141003,"73,99"
1647,ANTENA EXT YAGI AC2014 dualband,ANTENAS,INTELBRAS,,4110032,"49,99"
08615,ANTENA TP-LINK TL-ANT2408CL,ANTENAS,TPLINK,,TL-ANT2408CL,"21,5"
1643,ANTENA YAGI AC2014 sem embalagem,ANTENAS,INTELBRAS,,4110014,"39,99"
1633,APC 2M-14 CPE 2.4GHz 14dBi Mimo2x2,ROTEADORES,INTELBRAS,,4005071,"214,99"
1634,APC 2M-90 BaseStation 2.4GHz 14dBi Mimo2x2,ROTEADORES,INTELBRAS,,4005074,"315,99"
1635,APC 5M PTP/PTMP 5GHz 2N Mimo2x2,ROTEADORES,INTELBRAS,,4750002,"365,99"
2154,APC 5M-18+ CPE 5GHz 18dBi,ROTEADORES,INTELBRAS,,4750033,"399,99"
1637,APC 5M-90 BaseStation 4.9-5GHz 18dBi,ROTEADORES,INTELBRAS,,4750004,"737,99"
1638,APC Mach 5 PTP 5GHz 23dBi Mimo2x2,ROTEADORES,INTELBRAS,,4750005,"759,99"
